Year,Value
2020,65
2019,71
2018,80
2017,73
2016,70
2015,65
2014,63
2013,55
2012,65
2011,61
2010,70
2009,40
2008,73
2007,56
2006,57
2005,37
2004,25
2003,40
2002,55
2001,56
2000,68
1999,61
1998,62
